id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279175773,Sách - The Religion Of The Four Palaces Mediumship And Therapy In Viet Culture by Nguyễn Thị Hiền,280000,280000,0,0,0,0,Nguyễn Thị Hiền,NXB Thế Giới,,,Bìa mềm,,,Bookworm Hà Nội,available,1000,True,True,True
279103969,"Sách - Peace of Mind by Thich Nhat Hanh - Triết Học, Tôn Giáo tiếng Anh - Philosophy, Religion",480000,480000,0,0,0,0,Thích Nhất Hạnh,Penguin Random House,,,Bìa mềm,,,Bookworm Hà Nội,available,1000,True,True,True
279085193,Sách - A New Earth: Create Your Better Life Today by Eckhart Tolle |Spirituality| Philosophy,380000,380000,0,0,0,0,Eckhart Tolle,Penguin Books,,,Bìa mềm,,,Bookworm Hà Nội,available,1000,True,True,True
278819463,Sách - Tibetan Book of the Dead by Robert A.F. Thurman | Buddhism Book - English Nonfiction,380000,380000,0,0,0,3,Robert Thurman,HarperCollins,,,Bìa mềm,,,Bookworm Hà Nội,available,1000,True,True,True
278817894,Sách - A Brief Guide to Secret Religions by David V. Barrett | History Nonfiction / Ngoại văn,280000,280000,0,0,0,0,Many Authors,Little Brown,,,Bìa mềm,,,Bookworm Hà Nội,available,1000,True,True,True
278816903,Sách - Becoming Enlightened by Dalai Lama | Buddhism Nonfiction / Spirituality / Ngoại văn,350000,350000,0,0,0,0,Dalai Lama,Rider,,,Bìa mềm,,,Bookworm Hà Nội,available,1000,True,True,True
278804552,"Sách - Creation Myths:How the world began, in 16 origin legends by Gilly Cameron-Cooper | Bìa cứng",280000,280000,0,0,0,0,Many Authors,Anness Publishing,,,Bìa cứng,,,Bookworm Hà Nội,available,1000,True,True,True
278769931,Sách - Introducing Hinduism A Graphic Guide by Vinay Lal - Religion/Nonfiction/Hinduism/English book,150000,150000,0,0,0,0,Many Authors,Independent Publishers Group,,,Bìa mềm,,,Bookworm Hà Nội,available,1000,True,True,True
278757703,Sách - God Is Not Great: How Religion Poisons Everything - Christopher Hitchens | English Nonfiction,380000,380000,0,0,0,0,Christopher Hitchens,Atlantic Books,,,Bìa mềm,,,Bookworm Hà Nội,available,1000,True,True,True
278740151,Sách - Islam: A Short History by Karen Armstrong | History / Religion Nonfiction / Ngoại văn,350000,350000,0,0,0,0,Karen Armstrong,W&N,,,Bìa mềm,,,Bookworm Hà Nội,available,1000,True,True,True
278722677,Sách - God: A Human History by Reza Aslan - NEW YORK TIMES BESTSELLER,480000,480000,0,0,0,0,Reza Aslan, Random House Inc.,,,Bìa cứng áo ôm,,,Bookworm Hà Nội,available,1000,True,True,True
278719801,Sách - The Spiritual Science of the Stars: A Guide to the Architecture of the Spirit by Pete Stewart,320000,320000,0,0,0,0,Many Authors,Simon & Schuster,,,Bìa mềm,,,Bookworm Hà Nội,available,1000,True,True,True
278719732,Sách - Dominion: The Making of the Western Mind by Tom Holland | English Christianity History Book,380000,380000,0,0,0,0,Many Authors,Abacus,,,Bìa mềm,,,Bookworm Hà Nội,available,1000,True,True,True
278717697,Sách - Cutting Through Spiritual Materialism by Chögyam Trungpa | Buddhism Modern Spiritual Classic,380000,380000,0,0,0,0,Chogyam Trungpa,Penguin Random House,,,Bìa mềm,,,Bookworm Hà Nội,available,1000,True,True,True
278715649,Sách - The History of Magic by Chris Gosden | Science - Religion Nonfiction English Book,380000,380000,0,0,0,0,Chris Gosden,,,,,,,,out_of_stock,,False,False,False
278160953,Sách - The Light of Asia: A History of Western Fascination with the East by Christopher Harding/Politics & Social Sciences,450000,450000,0,0,0,0,Christopher Harding,Penguin,,,Bìa mềm,,,Bookworm Hà Nội,available,1000,True,True,True
262701134,Buddhism For Beginners: A Guide To Enlightened Living,339000,339000,0,0,0,1,,Phương Nam Book,,,Bìa cứng,,,Nhà Sách Phương Nam,available,1000,True,True,True
196197680,How to Change Everything : The Young Human's Guide to Protecting the Planet and Each Other,219000,219000,0,0,0,0,,Atheneum Books for Young Readers,,,,,,Xunhasaba Thế giới Sách Ngoại văn,available,1000,True,True,True
