id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279131465,Sách - Mastering English Vocabulary - 180 Ngày Làm Chủ Từ Vựng Tiếng Anh,141000,172000,18,0.0,0,2,nhieu tac gia,MCBOOKS,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278969103,Sách - Tự Học Từ Vựng Tiếng Anh - Word Formation,146000,200000,27,5.0,1,11,nhieu tac gia,Aladanh,Nhiều Nhà Xuất Bản,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278949725,Sách 30 chủ đề từ vựng tiếng Anh (Bám sát chương trình sách giáo khoa mới; Theo định hướng thi mới),100000,145000,31,0.0,0,4,"Trang Anh, Huỳnh Tài",Huy Hoàng Bookstore,Nhà Xuất Bản Đại Học Sư Phạm,,Bìa mềm,304,2025-10-12,Tiki Trading,available,1000,False,True,True
278837898,Sách Tự học Từ vựng Tiếng Anh Word Formation - Moonbook,200000,200000,0,0.0,0,5,Bùi Thanh Huyền,Aladanh,NXB Dân Trí,,Bìa mềm,479,,MoonBook - Top 1 sách luyện thi,available,1000,True,True,True
278690040,"Sách Mindmap English Phrasal Verbs, Collocation And Idioms",125000,168000,26,5.0,1,9,Lê Văn Hùng,MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,228,,Tiki Trading,available,1000,False,True,True
277914857,Sách Song Ngữ Anh Việt Lời Thì Thầm Với Mẹ - Whispers To Mother  + Kèm Mã File Nghe,198000,198000,0,0.0,0,16,HỒ VĂN HÙNG,NXB Lao Động,Nhà Xuất Bản Lao Động,,Bìa mềm,281,2025-04-08,Sách song ngữ Anna,available,1000,True,True,True
277591154,3500 từ vựng tiếng Anh theo chủ đề (Sách màu),54300,79000,31,5.0,2,27,Nguyễn Thị Thu Huế,Nhà sách Minh Thắng,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,432,2023-08-01,Tiki Trading,available,1000,False,True,True
276813746,Mind Map Từ Vựng Tiếng Anh Cho Học Sinh Trung Học Cơ Sở,198000,198000,0,0.0,0,2,nhieu tac gia,MCBOOKS,Nhà Xuất Bản Hồng Đức,,,274,,MCBooks,available,1000,True,True,True
275945830,Sách Tổng ôn từ vựng tiếng anh cô Trang Anh Moonbook,200000,300000,33,4.8,8,139,Trang Anh,Aladanh,NXB Dân Trí,,Bìa mềm,700,2024-07-01,MoonBook - Top 1 sách luyện thi,available,1000,True,True,True
272392514,Sách Nuance-50 Sắc Thái Của Từ,111300,159000,30,4.8,59,968,"Kenvin Kang, Hanna Byun",Alphabooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,264,2023-09-09,Tiki Trading,available,1000,False,True,True
271317437,Sách Học 2.000 từ tiếng Anh hữu ích bằng Sơ đồ Tư Duy,229000,320000,28,4.0,1,29,Nguyễn Thành Yến,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,296,2023-07-31,Tiki Trading,available,1000,False,True,True
271317432,Sách Từ vựng tiếng Anh: Hiểu để nhớ,269000,320000,16,5.0,2,19,Language Publishing Editorial,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,376,2023-05-19,Tiki Trading,available,1000,False,True,True
253365659,"Trọn Bộ Giáo Trình Destination Grammar & Vocabulary B1, B2, C1&C2 (Kèm Đáp Án) Lẻ/combo",148500,198000,25,5.0,2,91,,MCBOOKS,Nhà Xuất Bản Hồng Đức,,,,,BizbooksJSC,available,1000,True,True,True
251930952,Sách Destination B1 & B2 Grammar and Vocabulary Kèm Đáp Án Lẻ/Combo - MCBOOKS - BẢN QUYỀN,198000,198000,0,5.0,74,576,,MCBOOKS,Nhà Xuất Bản Hồng Đức,,,,,MCBooks,available,1000,True,True,True
250335067,Destination B1 Grammar and Vocabulary Kèm Đáp Án,148500,198000,25,5.0,44,667,,MCBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,2023-04-01,BizbooksJSC,available,1000,True,True,True
247289995,Sách 6000 Từ Vựng Tiếng Anh Thông Dụng (Bìa Mềm),64700,90000,28,5.0,9,130,Nhiều tác giả,Nhà sách Minh Thắng,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,340,2023-01-01,Tiki Trading,available,1000,False,True,True
216090600,Sách 5500 từ vựng tiếng Anh thông dụng nhất (bản màu) - tái bản,55700,73000,24,5.0,11,78,"Trần Mạnh Tường, Nguyễn Thị Thu Huế",Nhà sách Minh Thắng,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,372,2022-08-01,Tiki Trading,available,1000,False,True,True
203945356,Đố Bạn Tìm Được Tôi - Bút Chì Sáng Tạo,46200,52000,11,0.0,0,4,Highlights,Zenbooks,Nhà Xuất Bản Đà Nẵng,,,,,Nhà sách Fahasa,available,1000,True,True,True
200010691,Let's Enjoy Masterpieces - The Happy Prince - Hoàng Tử Hạnh Phúc + CD,43900,53000,17,0.0,0,6,Oscar Wilde,FIRST NEWS,Nhà Xuất Bản Tổng hợp TP.HCM,,,,,Nhà sách Fahasa,available,1000,True,True,True
195954696,Sách DESTINATION B1 - Ngữ pháp và từ vựng tiếng anh tập 2,95500,139000,31,5.0,9,117,Nhiều tác giả,Nhà sách Minh Thắng,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,272,2022-05-01,Tiki Trading,available,1000,False,True,True
195954683,Sách DESTINATION B1 - Ngữ pháp và từ vựng tiếng anh tập 1,96000,129000,26,5.0,16,239,Nhiều tác giả,Nhà sách Minh Thắng,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,244,2022-05-01,Tiki Trading,available,1000,False,True,True
195801317,Sách Perfect English Vocabulary: Tất Tần Tật Về Từ Vựng Tiếng Anh Gen Z,173100,249000,30,4.8,14,111,,Alphabooks,Nhà Xuất Bản Dân Trí,,Bìa mềm,304,2022-08-01,Tiki Trading,available,1000,False,True,True
195541262,Sách Luyện Viết Và Học Từ Vựng Tiếng Anh Lớp 1 - Theo Chương Trình Family And Friends (National Edition),28980,42000,31,5.0,9,205,"Mai Lan Hương, Hà Thanh Uyên",Zenbooks,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,Cuốn,2022-08-08,Tiki Trading,available,1000,False,True,True
167613989,Let's Enjoy Masterpieces - Happy Reader - Daddy - Long - Legs - Nhện Chân Dài,42000,42000,0,0.0,0,1,,First News - Trí Việt,oem,,,,,Bamboo Books,available,1000,True,True,True
154245459,Sách Nghiền Từ Vựng Tiếng Anh - Học Qua Gốc Từ Bằng Hình Ảnh - Gốc Từ Là Bí Quyết Để Ghi Nhớ Hàng Nghìn Từ Vựng - Quyển 1,128250,135000,5,0.0,0,0,"Kenji Shimizu, Suzuki Hiroshi",Megabook,Nhà Xuất Bản Hà Nội,,Bìa mềm,288,2022-01-01,Cá Chép Bookstore,available,1000,True,True,True
154245455,Combo 2 Cuốn Nghiền Từ Vựng Tiếng Anh: Học Qua Gốc Từ Bằng Hình Ảnh - Gốc Từ Là Bí Quyết Để Ghi Nhớ Hàng Nghìn Từ Vựng,182000,270000,33,5.0,297,2590,"Kenji Shimizu, Suzuki Hiroshi",Megabook,Nhà Xuất Bản Hà Nội,,Bìa mềm,608,2022-01-01,Tiki Trading,available,1000,False,True,True
154245451,Sách Nghiền Từ Vựng Tiếng Anh - Học Qua Gốc Từ Bằng Hình Ảnh - Gốc Từ Là Bí Quyết Để Ghi Nhớ Hàng Nghìn Từ Vựng - Quyển 2,101000,135000,25,4.8,40,335,"Kenji Shimizu, Suzuki Hiroshi",Megabook,Nhà Xuất Bản Hà Nội,,Bìa mềm,320,2022-01-01,Tiki Trading,available,1000,False,True,True
152789562,Tự Học 2000 Từ Vựng Tiếng Anh Theo Chủ Đề Phiên Bản Khổ Nhỏ Dành Cho Người Học Căn Bản - Học Kèm App Online,61700,65000,5,0.0,0,6,The Windy,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,260,2021-12-24,Alpha Books Official,available,1000,True,True,True
88000560,Sách Work On Your Vocabulary A2 - Pre-Intermediate (Tái Bản),133200,148000,10,5.0,1,9,Collins,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,128,2021-04-01,Nhà sách Fahasa,available,1000,True,True,True
72851522,Học Từ Vựng Tiếng Anh Theo Chủ Đề - Tập 2,78400,98000,20,5.0,3,26,Hoàng Thanh,Cty Văn Hóa Nhân Văn,Nhà Xuất Bản Thanh Niên,,,,,Nhà sách Fahasa,available,1000,True,True,True
