id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278777958,Sổ Emotion Coaching - Nhật ký chuyển hóa cảm xúc bằng kỹ năng tự khai vấn,211111,222222,5,5.0,1,2,Vũ Kiều Chinh,CÔNG TY CỔ PHẦN RIO BOOK VIỆT NAM,Nhà Xuất Bản Dân Trí,,Bìa cứng,257,2025-10-20,RIObook Store,available,1000,True,True,True
278038433,Sách - Bí Kíp Chống Tụt Mood,95700,110000,13,0.0,0,0,Dr. Olivia Remes,Saigon Books,Nhà Xuất Bản Thế Giới,,Bìa mềm,228,2025-05-28,Zenbooks Official ,available,1000,True,True,True
276809860,Sách - Kỷ Luật Tập Trung - Phương Pháp Tận Dụng Triệt Để Sức Mạnh Của Não Bộ,89000,89000,0,0.0,0,0,Đức Nhân,Cty Linh Lan,Nhà Xuất Bản Dân Trí,,Bìa mềm,144,2024-12-16,Linh Lan Books,available,1000,True,True,True
276379298,Thiền Động: Sự Tĩnh Lặng Trong Từng Bước Chân An Lạc,121680,169000,28,0.0,0,1,,1980 Books,Nhà Xuất Bản Thanh Niên,,Bìa mềm,278,2024-10-27,TTR Next Generation,available,1000,True,True,True
276028575,Sức Mạnh Của Ngôn Ngữ Cảm Xúc,179000,179000,0,0.0,0,0,,1980 Books,Nhà Xuất Bản Dân Trí,,,,,info book,available,1000,True,True,True
275948240,Sách Same As Ever: Quy Luật Bất Biến Về Bản Chất Con Người Và Tâm Lý Làm Giàu,138000,219000,37,4.7,51,1095,Morgan Housel,1980 Books,Nhà Xuất Bản Công Thương,,Bìa mềm,408,,Tiki Trading,available,1000,False,True,True
275705567,Sách Be Angry - Hãy Cứ Giận Đi,38300,59000,35,4.8,80,33,"Đức Đạt-Lai Lạt-Ma, Noriyuki Ueda",Thái Hà,Nhà Xuất Bản Lao Động,,Bìa mềm,120,2021-01-12,Tiki Trading,available,1000,False,True,True
275625147,Sách Sức Bật Tinh Thần,126630,189000,33,0.0,0,19,Jo Owen,Saigon Books,Nhà Xuất Bản Thế Giới,,Bìa mềm,408,,Tiki Trading,available,1000,False,True,True
275617564,SÁCH - Sức Mạnh Của Sự Tranh Luận - Jon Taffer,158400,180000,12,0.0,0,1,Jon Taffer,Saigon Books,Nhà Xuất Bản Thế Giới,,Bìa mềm,296,2024-07-16,Saigon Books Official,available,1000,True,True,True
274610923,EQ Rèn Luyện Trí Thông Minh Cảm Xúc,149000,149000,0,0.0,0,0,,1980 Books,Nhà Xuất Bản Dân Trí,,,,,Bamboo Books,available,1000,True,True,True
273714482,"Cân Bằng Cảm Xúc Mọi Lúc Mọi Nơi - Thoát Khỏi Lo Âu, Kiểm Soát Sự Giận Dữ - Tái Bản Mới  - Bản Quyền",159000,199000,20,0.0,0,0,,Alpha Books,Nhà Xuất Bản Công Thương,,,,,Alpha Books Official,available,1000,True,True,True
