id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279131586,Sách - Tự Giải Mã Phong Thủy Căn Nhà Của Bạn,176000,220000,20,0.0,0,1,nhieu tac gia,Fahasa,Nhà Xuất Bản Thế Giới,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278916828,CHU DỊCH CHÍNH NGHĨA,950000,950000,0,0.0,0,2,Nguyễn Khuê,Công Ty TNHH TM - DV Chính Thông,Nhà Xuất Bản Hồng Đức,,Bìa cứng,,2025-10-31,Chính Thông,available,1000,True,True,True
278906984,Sách - Văn Tâm Điêu Long 文心雕龍 - Tư Tưởng Mỹ Học Kinh Điển Trung Hoa,180000,240000,25,0.0,0,3,nhieu tac gia,Công ty TNHH Truyền Thông và Giáo Dục Lyceum,Nhà Xuất Bản Văn Học,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278831267,Sách - Kinh Dịch Và Cấu Hình Tư Tưởng Trung Quốc - Bìa Cứng,343200,390000,12,5.0,2,3,nhieu tac gia,Cty Văn Hóa Gia Vũ,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278638158,Sách - Kinh Dịch Dễ Hiểu Cho Người Tự Học,113000,119000,5,0.0,0,5,nhieu tac gia,Công Ty Cổ Phần Waka,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278617070,Sách - Tìm Hiểu Văn Hóa Tín Ngưỡng - 12 Con Giáp Và Ý Nghĩa Dân Gian - Năm Bính Ngọ 2026,47000,50000,6,0.0,0,4,nhieu tac gia,Cty TNHH TM&DV VH GD Phía Nam,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278459477,Sách - Tìm Hiểu Văn Hóa Phương Đông - Ngày Lành Tháng Tốt 2026 - Năm Bính Ngọ,76000,95000,20,0.0,0,1,Lê Quý Ngưu,Cty Văn Hóa Hương Trang,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278117281,Sách - Thái Ất Thần Quẻ - Nhà Xuất Bản Hồng Đức (Tặng Đồng Xu Âm Dương),250000,250000,0,0.0,0,5,,Công ty TNHH Tiên Phong Books,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,,Tiên Phong Books Store,available,1000,True,True,True
278069470,Sách - Diễn Cầm Tam Thế Diễn Nghĩa - Sách Tử Vi - Dương Công Hầu,250000,250000,0,0.0,0,7,,Công ty TNHH Tiên Phong Books,Nhà Xuất Bản Tri Thức,,,,,Tiên Phong Books Store,available,1000,True,True,True
275903077,Sách - Diễn Cầm Tam Thế Diễn Nghĩa - Sách Tử Vi - Dương Công Hầu,299000,299000,0,2.8,5,70,Dương Công Hầu,Công ty TNHH Tiên Phong Books,Nhà Xuất Bản Tri Thức,,Bìa mềm tay gấp,367,,Tiên Phong Books Việt Nam,available,1000,True,True,True
254141470,Ngọc Hạp Thông Thư – Hứa Chân Quân,162000,162000,0,5.0,1,5,Hứa Chân Quân,Công ty TNHH TM & DV Văn Hóa Hương Trang,Nhà Xuất Bản Hồng Đức,,Bìa mềm,368,2022-11-09,AN HOA BOOK,available,1000,True,True,True
249771927,Sách Chu Dịch Với Dự Đoán Học (Bìa Cứng),194500,250000,22,5.0,16,196,Thiệu Vĩ Hoa,Nhà sách Minh Thắng,Nhà Xuất Bản Hồng Đức,,Bìa cứng,860,2023-01-01,Tiki Trading,available,1000,False,True,True
248591413,Sách Mai Hoa Dịch Số,76000,97000,22,4.8,6,113,Thạch Kiều Thanh,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,264,2019-01-01,Tiki Trading,available,1000,False,True,True
207852933,Sách Dịch học nhập môn,47000,65000,28,5.0,52,608,"Thu Giang, Nguyễn Duy Cần",NXB Trẻ,NXB Trẻ,,Bìa mềm,128,2022-11-01,Tiki Trading,available,1000,False,True,True
203200645,Sách Ứng Dụng Kinh Dịch Trong Cuộc Sống - Tập 1,213500,305000,30,0.0,0,4,,NXB Phụ Nữ,Nhà Xuất Bản Hồng Đức,,Bìa mềm,587,,Tiki Trading,available,1000,False,True,True
202042682,DỊCH HỌC GIẢN YẾU - Diễn Giải và Ứng Dụng,270000,270000,0,5.0,2,18,,Cty Sách Đông Nam,Nhà Xuất Bản Hồng Đức,,Bìa cứng,534,2022-09-10,TNHH Sách Đông Nam,available,1000,True,True,True
198285192,Sách Ứng Dụng Kinh Dịch Trong Cuộc Sống - Tập 3: Nghĩa Lý Của 64 Quẻ Dịch,190400,224000,15,0.0,0,5,,Phụ Nữ,Nhà Xuất Bản Phụ Nữ Việt Nam,,,,,Nhà sách Fahasa,available,1000,True,True,True
190757829,Sách Sổ Tay Kinh Dịch,69000,98000,30,5.0,14,144,Gary G.Melyan,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,192,2022-07-01,Tiki Trading,available,1000,False,True,True
174855409,Sách Lão Tử Đạo Đức Kinh Và Kinh Dịch Đạo Người Quân Tử (2 Cuốn) - Nguyễn Hiến Lê,382400,478000,20,0.0,0,9,,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,,,,BizbooksJSC,available,1000,True,True,True
174011140,Thu Giang Nguyễn Duy Cần - Dịch Kinh Tường Giải (Di Cảo): Quyển Hạ _BOOKCITY,360000,360000,0,5.0,1,4,Thu Giang Nguyễn Duy Cần,NXB Trẻ,NXB Trẻ,,Bìa cứng,598,,Bamboo Books,available,1000,True,True,True
166545503,Kinh Dịch Ngô Tất Tố (Trọn bộ),234000,468000,50,4.7,11,114,Ngô Tất Tố,Khang Việt Book,Nhà Xuất Bản Văn Học,,Bìa cứng,870,,khangvietbook,available,1000,True,True,True
165150363,Sách Sổ Tay Kinh Dịch (Tái Bản),88200,98000,10,0.0,0,3,Gary G. Melyan,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,192,2022-02-01,Bảo Châu Books,available,1000,True,True,True
124767700,Sách Kinh Dịch Trọn Bộ (Ngô Tất Tố Dịch Và Chú Giải)(Bìa Cứng),189200,189200,0,4.7,6,83,Ngô Tất Tố,Nhà sách Minh Thắng,Nhà Xuất Bản Văn Học,,Bìa cứng,720,2021-09-01,Minhhabooks,available,1000,True,True,True
106365090,Sách Kinh Dịch Đạo Của Người Quân Tử - Nguyễn Hiến Lê (Tái Bản),229000,299000,23,4.8,286,2331,Nguyễn Hiến Lê,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,512,2021-06-01,Tiki Trading,available,1000,False,True,True
96687581,Combo Chu Dịch Huyền Giải và Dịch Học Tinh Hoa ( tái bản),190000,200000,5,5.0,53,295,Thu Giang Nguyễn Duy Cần,NXB Trẻ,NXB Trẻ,,Bìa mềm,,,NHBook,available,1000,True,True,True
94906643,Sách - Kinh Dịch Đạo Của Người Quân Tử (Tái Bản 2021),239200,299000,20,5.0,42,323,Nguyễn Hiến Lê,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,520,2021-04-01,NVP,available,1000,True,True,True
80412718,Sách Đồ Giải Táng Thư-Đồ Giải Bạch Thoại Tứ Khố Toàn Thư - Thuật Số (Bìa Cứng),297500,350000,15,5.0,2,13,Quách Phác,Nhà sách Minh Thắng,Nhà Xuất Bản Dân Trí,,Bìa mềm,736,2020-12-01,Nhà sách Fahasa,available,1000,True,True,True
75813207,Sách Dịch Tượng Luận - Tử Vi Bí Kiếp (Di Cảo),266000,360000,26,5.0,242,1288,"Thu Giang, Nguyễn Duy Cần",NXB Trẻ,NXB Trẻ,,Bìa mềm,632,2021-01-01,Tiki Trading,available,1000,False,True,True
48481710,Sách Kinh Dịch Với Nhân Dạng Và Phong Thuỷ (Bìa Cứng),340000,400000,15,0.0,0,5,Phạm Văn Các,Nhà sách Minh Thắng,Nhà Xuất Bản Hà Nội,,Bìa cứng,732,2020-02-02,Nhà sách Fahasa,available,1000,True,True,True
41549140,Sách Kinh Dịch Dự Đoán (Bìa Cứng)(Tái Bản),233700,233700,0,3.0,2,2,Phạm Văn Các,Nhà sách Minh Thắng,,,Bìa cứng,632,2019-01-11,Minhhabooks,available,1000,True,True,True
40933973,Sách Dịch Kinh Tường Giải (Di Cảo): Quyển Thượng (Tái Bản),323000,340000,5,5.0,12,61,Thu Giang Nguyễn Duy Cần,NXB Trẻ,,,Bìa cứng,548,2019-11-01,Nhà sách Fahasa,available,1000,True,True,True
36425573,Kinh Dịch Đạo Của Người Quân Tử (Nguyễn Hiến Lê - Tái Bản 2018) (Tặng kèm Bookmark PL),239200,299000,20,3.8,4,45,Nguyễn Hiến Lê,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,520,,NVP,available,1000,True,True,True
35411148,Kinh Dịch Đạo Của Người Quân Tử (Nguyễn Hiến Lê - Tái Bản 2018)(Tặng kèm Booksmark),239200,299000,20,4.5,2,16,Nguyễn Hiến Lê,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,,NVP,available,1000,True,True,True
32748093,Kinh Dịch Đạo Của Người Quân Tử (Nguyễn Hiến Lê - Tái Bản 2018) (Tặng kèm Kho Audio Books),239200,299000,20,4.5,2,47,Nguyễn Hiến Lê,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,520,,NVP,available,1000,True,True,True
32638313,Sách Tứ Trụ Chu Dịch Dự Đoán Học (Bìa Cứng),261200,380000,31,4.6,30,284,Thiệu Vĩ Hoa,Nhà sách Minh Thắng,,,Bìa cứng,964,2019-09-01,Tiki Trading,available,1000,False,True,True
25728855,Kinh Dịch (Ngô Tất Tố),212350,212350,0,4.5,2,11,Ngô Tất Tố,NXB Văn Học,Nhà Xuất Bản Văn Học,,,,,Phương Đông Books,available,1000,True,True,True
11735262,Sách Kinh Dịch Trọn Bộ (Bìa Cứng) - Ngô Tất Tố (Tái Bản 2019),189200,189200,0,5.0,14,108,Ngô Tất Tố,Nhà sách Minh Thắng,,,Bìa cứng,720,2019-02-21,Minhhabooks,available,1000,True,True,True
7226283,Sách Kinh Dịch Đạo Của Người Quân Tử (Nguyễn Hiến Lê - Tái Bản 2018),268000,268000,0,5.0,5,36,Nguyễn Hiến Lê,KNBooks,Tiki Tổng Hợp,,Bìa mềm,520,2018-08-15,trungthanh2018,available,1000,True,True,True
492734,Sách Quyết Địa Kinh Thư - Địa Lý Nhập Môn Và La Kinh Thấu Giải,264000,264000,0,0.0,0,13,Tuệ Minh Võ Văn Ba,Công ty Văn hóa Hương Trang,Nhà Xuất Bản Đà Nẵng,,Bìa cứng,675,2015-01-22,Chính Thông,available,1000,True,True,True
410317,Sách Kinh Dịch Trọn Bộ (Bìa Cứng),189200,189200,0,5.0,2,70,Ngô Tất Tố,Nhà sách Minh Thắng,,,Bìa cứng,718,2014-07-18,Minhhabooks,available,1000,True,True,True
279133454,Sách - 100 Phép Đoán Mệnh,127500,150000,15,0.0,0,0,nhieu tac gia,Nhà sách Minh Thắng,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279132024,Sách - Tìm Hiểu Văn Hóa Phương Đông - 365 Ngày Năm Bính Ngọ 2026,38000,40000,5,0.0,0,0,nhieu tac gia,Cty TNHH TM&DV VH GD Phía Nam,Nhà Xuất Bản Thanh Hoá,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279131947,Sách - Văn Khấn Nôm Truyền Thống,36100,38000,5,0.0,0,0,Phạm Tuấn,Cty Văn Hóa & Truyền Thông Trí Việt.,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279131639,Sách - Văn Khấn Cổ Truyền Việt Nam (Tái Bản 2025),73600,80000,8,0.0,0,2,nhieu tac gia,Panda Books,Nhà Xuất Bản Thanh Hoá,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279131574,Sách - Tập Văn Khấn Gia Tiên - Văn Khấn Nôm Tại Nhà,51100,55000,7,0.0,0,0,nhieu tac gia,Cty Văn Hóa & Truyền Thông Trí Việt.,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279005991,Sách - Kinh Dịch Đạo Của Người Quân Tử (Tái Bản 2025),236100,288000,18,0.0,0,3,Nguyễn Hiến Lê,MCBOOKS,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278907361,Sách - Văn Khấn Cổ Truyền Việt Nam (Tái Bản 2025),51100,55000,7,0.0,0,3,nhieu tac gia,Cty Văn Hóa & Truyền Thông Trí Việt.,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278907275,Sách - Sổ Tay Kinh Dịch (Tái Bản 2025),92100,98000,6,0.0,0,1,nhieu tac gia,Cty Văn Hóa Văn Lang,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278831257,Sách - Tự Học Kinh Dịch - Tập 1,255000,300000,15,0.0,0,6,nhieu tac gia,Fahasa,Nhà Xuất Bản Thế Giới,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278830775,Sách - Lịch Cát Tường Bính Ngọ 2026,118000,118000,0,0.0,0,1,ThS Nguyễn Mạnh Linh,Huy Hoàng Bookstore,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278616964,Sách - Ngày Lành Tháng Tốt - Vạn Sự Cát Tường - Năm Bính Ngọ 2026,47000,50000,6,0.0,0,1,nhieu tac gia,Cty TNHH TM&DV VH GD Phía Nam,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278236431,Sách-Kinh Dịch & Cấu Hình Tư Tưởng Trung Quốc,350000,390000,10,0.0,0,1,Dương Ngọc Dũng - Lê Anh Minh (Biên soạn),CÔNG TY TNHH TM DV VĂN HÓA GIA VŨ,NXB Dân Trí,,Bìa cứng,926,2025-07-01,nhà sách Ngọc Trâm,available,1000,True,True,True
278115819,Sách - Thái Ất Thần Quẻ - Nhà Xuất Bản Hồng Đức (Tặng Đồng Xu Âm Dương),250000,250000,0,0.0,0,1,,Công ty TNHH Tiên Phong Books,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,,Tiên Phong Books Việt Nam,available,1000,True,True,True
278110351,Sổ Tay Kinh Dịch - Vanlangbooks,98000,98000,0,5.0,1,2,Gary G. Melyan,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,192,,Văn Lang Official Store,available,1000,True,True,True
276405554,Lịch Cát Tường Ất Tỵ 2025 (HH),103840,118000,12,5.0,1,4,ThS Nguyễn Mạnh Linh,Huy Hoàng Bookstore,Nhà Xuất Bản Hồng Đức,,Bìa mềm,260,,Văn Lang Official Store,available,1000,True,True,True
276246244,Sách Kinh Dịch 4.0,345000,345000,0,0.0,0,0,Lưu Nguyễn Đào Nguyên,Thái Hà,Nhà Xuất Bản Thế Giới,,,312,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
276192346,Khám Phá Mật Ngữ 12 Chòm Sao,34200,38000,10,0.0,0,0,,Công Ty TNHH TM - DV Chính Thông,,,Bìa mềm,142,,Chính Thông,available,1000,True,True,True
