id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278827446,Sách - Guitar Cổ Điển Những Nhạc Phẩm Nổi Tiếng (Trần Thế Kỷ),88000,88000,0,5.0,1,3,Trần Thế Kỷ,Cty Văn Hóa Tổng Hợp Bút Việt,Nhà Xuất Bản Thanh Niên,,Bìa mềm,200,2016-10-31,Hiệu Sách Văn Hiến,available,1000,True,True,True
76125991,Sách Tự Học Và Thực Hành GuiTar Bass (Tái Bản),89300,95000,6,4.5,2,6,Hoàng Hạc,VanLangBooks,,,Bìa mềm,152,2021-01-12,Nhà sách Fahasa,available,1000,True,True,True
249875172,"Sách 30 ngày biết đệm Guitar - Valse - Boston - Cha cha cha - Boléro - Tango - Rumba - Bossa Nova - Phương pháp trình bày khoa học, dễ hiểu - Học bấm hợp âm qua hình chụp File Audio đệm đàn và hát mẫu",114000,145000,21,3.8,4,75,Song Minh,Huy Hoàng Bookstore,Nhà Xuất Bản Dân Trí,,Bìa mềm,188,2023-03-14,Tiki Trading,available,1000,False,True,True
278774847,Sách - Tự Học Đệm Hát Với Đàn Guitar,98000,98000,0,0.0,0,4,Trần Thế Kỷ,Cty Văn Hóa Tổng Hợp Bút Việt,Nhà Xuất Bản Thanh Niên,,Bìa mềm,198,2015-10-24,Hiệu Sách Văn Hiến,available,1000,True,True,True
275912250,Sách Phương pháp học Guitare,121000,168000,28,5.0,1,13,F. Carulli,Công Ty Cổ Phần Văn Hóa Huy Hoàng,Nhà Xuất Bản Dân Trí,,Bìa mềm,160,2024-07-29,Tiki Trading,available,1000,False,True,True
55680720,Tự Học Đàn Guitar Theo Phương Pháp F. Carulli,75000,75000,0,4.6,45,303,Nguyễn Hạnh,Cty Văn Hóa Tổng Hợp Bút Việt,Nhà Xuất Bản Phương Đông,,Bìa mềm,120,2022-09-06,Hiệu Sách Văn Hiến,available,1000,True,True,True
217886452,Phương Pháp Chơi Guitar,74000,74000,0,5.0,1,2,Tom Kolb,Cty Văn Hóa Văn Lang,,,Bìa mềm,104,2020-02-27,Hiệu Sách Văn Hiến,available,1000,True,True,True
262389395,30 NGÀY BIẾT ĐÀN GUITAR – Hoàng Hạc biên soạn – VanLangBooks – NXB Thanh Hóa (Bìa mềm),108000,108000,0,0.0,0,1,,Văn Lang,,,Bìa mềm,,,Bamboo Books,available,1000,True,True,True
68113478,Combo Tự Học Đàn Guitar (Bộ 2 Tập)  (Với Phần Bài Tập Gồm 150 Bài Hát Nổi Tiếng Trong Và Ngoài Nước),155000,155000,0,4.6,20,141,Nguyễn Hạnh,Cty Văn Hóa Tổng Hợp Bút Việt,Nhà Xuất Bản Thời Đại,,Bìa mềm,400,2015-09-19,Hiệu Sách Văn Hiến,available,1000,True,True,True
273534648,Sách Hay Về Học Đàn Guitar-45 Ngày Biết Đệm Đàn Guitar,138250,138250,0,0.0,0,4,,Huy Hoàng Bookstore,NXB Dân Trí,,,,,Phương Đông Books,available,1000,True,True,True
