id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
277827033,Sách Lần Đầu Làm Mẹ - Tổng Hợp Những Kiến Thức Mới Nhất Về Mang Thai Và Sinh Nở,188400,299000,37,4.8,435,248,Masato Takeuchi,Thái Hà,Nhà Xuất Bản Lao Động,,Bìa mềm,352,2021-05-01,Tiki Trading,available,1000,False,True,True
276275025,Sách Thực Hành Thai Giáo,191900,279000,31,0.0,0,31,"Thạc sĩ Tâm lý học Đỗ Thanh Huyền, Trần Diệu Hằng (Huấn luyện viên dinh dưỡng và sức khỏe nội tiết), Tiến sĩ Xã hội học Phạm Thị Thuý",Thái Hà,Nhà Xuất Bản Công Thương,,Bìa mềm,252,,Tiki Trading,available,1000,False,True,True
275008401,Cuốn Bốn mùa ươm yêu - Sách thai giáo dành cho mẹ bầu Bìa cứng,199000,199000,0,0.0,0,3,,CÔNG TY TNHH LIONBOOKS VIỆT NAM,Nhà Xuất Bản Hà Nội,,Bìa cứng,72,,Casa Sunshine,available,1000,True,True,True
274600055,Sách Mẹ Bầu Notebook: Nhật Ký Và Cẩm Nang Cho 9 Tháng Thai Kỳ,122800,189000,35,4.0,2,31,White Star,Thái Hà,Nhà Xuất Bản Lao Động,,,160,2024-03-01,Tiki Trading,available,1000,False,True,True
274415312,Thai Giáo Tổng Hợp Theo Chuyên Gia (ML - THA),95000,95000,0,4.8,6,45,Trạch Quế Vinh,Minh Long,Nhà Xuất Bản Phụ Nữ,,Bìa mềm,204,2014-01-17,NewShop Official,available,1000,True,True,True
273509497,Bộ Sách 280 Ngày Thai Giáo -ML,90250,95000,5,5.0,1,6,Hán Trúc,Minh Long,Nhà Xuất Bản Phụ Nữ,,Bìa mềm,204,,NewShop Official,available,1000,True,True,True
271141504,Mười Phút Mỗi Ngày Thì Thầm Với Con - Những Câu Chuyện Thai Giáo Hay Nhất Thế Giới,108700,145000,25,3.0,2,48,,Tân Việt,Nhà Xuất Bản Văn Học,,,,,Nhà sách Fahasa,available,1000,True,True,True
262043204,	Bách Khoa Tri Thức Thai Sản 2 - Chăm Sóc Sức Khỏe Khi Mang Thai _VT,65000,65000,0,5.0,1,3,Vương Trung Hiếu,Cty Văn Hóa Việt Thư,Nhà Xuất Bản Hồng Đức,,Bìa mềm,215,,NewShop Official,available,1000,True,True,True
262037808,Mang Thai Và Những Điều Cần Biết (Tái Bản 2023),53900,65000,17,0.0,0,2,Vương Trung Hiếu,Cty Văn Hóa Việt Thư,hong duc,,,,,Nhà sách Fahasa,available,1000,True,True,True
249052965,Bộ sách Thức tỉnh cùng Headspace (3 cuốn),98000,119000,18,0.0,0,1,Andy Puddicombe,Thái Hà,Nhà Xuất Bản Lao Động,,Bìa mềm,1000,2023-03-28,THAIHABOOKS,available,1000,True,True,True
243090197,Sách Cùng headspace mang thai chánh niệm,77400,119000,35,5.0,2,52,Andy Puddicombe,Thái Hà,Nhà Xuất Bản Lao Động,,Bìa mềm,296,2023-02-01,Tiki Trading,available,1000,False,True,True
241666790,Chăm Sóc Vợ Bầu - Mọi Điều Các Ông Bố Tương Lai Nên Biết,106900,115000,7,0.0,0,1,Adam Carpenter,Cty Văn Hóa Văn Lang,hong duc,,,,,Nhà sách Fahasa,available,1000,True,True,True
225911224,Sách Chăm Sóc Vợ Bầu,72000,115000,37,4.8,9,152,Adam Carpenter,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,192,2023-02-01,Tiki Trading,available,1000,False,True,True
217531255,Combo Thai kỳ khỏe mạnh vượt cạn bình an - Hỏi Đáp Cùng Bác Sĩ Bùi Chí Thương: Những vấn đề về sức khỏe phụ nữ,128000,128000,0,0.0,0,0,Bùi Chí Thương,NXB Trẻ,NXB Trẻ,,Bìa mềm,,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
207810985,Cuốn Dành Tặng Riêng Con bìa cứng - Sách thơ Thai Giáo cho mẹ bầu Hạnh phúc,89000,89000,0,4.8,4,59,,CÔNG TY TNHH LIONBOOKS VIỆT NAM,Nhà Xuất Bản Hà Nội,,Bìa cứng,40,,Casa Sunshine,available,1000,True,True,True
207356537,Combo 2 Cuốn Chăm Sóc Trẻ: Tận Hưởng Hành Trình Nuôi Con Sữa Mẹ + Thai Giáo Theo Chuyên Gia - 280 Ngày Mỗi Ngày Đọc 1 Trang,274500,274500,0,0.0,0,0,,Nhiều công ty phát hành,Nhiều Nhà Xuất Bản,,,,,AHABOOKS,available,1000,True,True,True
204027439,"Sách Bách Khoa Thai Nghén, Sinh Nở & Chăm Sóc Bé",106200,170000,38,4.2,5,130,Địch Quế Dung,Minh Long,Nhà Xuất Bản Phụ Nữ,,Bìa mềm,416,2022-11-11,Tiki Trading,available,1000,True,True,True
195624160,Sách Thai Giáo Theo Chuyên Gia - 280 Ngày Mỗi Ngày Đọc 1 Trang,76600,115000,33,4.8,74,1979,Trạch Quế Vinh,Minh Long,Nhà Xuất Bản Phụ Nữ,,Bìa mềm,256,2022-08-08,Tiki Trading,available,1000,False,True,True
181122325,Sách Thai Giáo (Tái Bản 2022),103600,148000,30,5.0,16,316,Phạm Thị Thúy,First News - Trí Việt,Nhà Xuất Bản Phụ Nữ,,Bìa mềm,176,2022-01-01,Tiki Trading,available,1000,False,True,True
170828115,combo 2 quyển: Thai Giáo - Phương Pháp Khoa Học Dạy Con Từ Trong Bụng Mẹ + Nuôi Con Không Phải Là Cuộc Chiến - Bé Tự Ngủ - Cha Mẹ Thư Thái,291200,303350,4,0.0,0,2,,Nhiều công ty phát hành,Nhiều Nhà Xuất Bản,,,,,AHABOOKS,available,1000,True,True,True
163577792,Combo Thai Giáo Theo Chuyên Gia Và Hành Trình Thai Giáo 280 Ngày,210000,210000,0,5.0,2,23,,Minh Long,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,,,NewShop Official,available,1000,True,True,True
155463021,Sách Hành Trình Nuôi Con Mang Thai - Cẩm Nang Thai Sản Đầy Đủ Nhất,447400,699000,36,4.8,81,722,Heidi Murkoff,OMEGA PLUS+,Nhà Xuất Bản Dân Trí,,Bìa cứng,644,2022-01-01,Tiki Trading,available,1000,False,True,True
151947116,Hành Trình Nuôi Con: Mang Thai,559000,699000,20,5.0,1,27,Heidi Murkoff,Omega Plus,NXB Dân Trí,,Bìa cứng,644,2021-12-21,Alpha Books Official,available,1000,True,True,True
126742919,Sách Rủ Chồng Thai Giáo,99700,129000,23,5.0,8,83,Phạm Ngọc Thắng,Thái Hà,Nhà Xuất Bản Lao Động,,Bìa mềm,248,2021-09-01,Tiki Trading,available,1000,False,True,True
90508063,Combo 2 cuốn sách dành cho mẹ bầu: Hành Trình Thai Giáo 280 Ngày + Lần Đầu Làm Mẹ ( Tặng kèm bookmark ),324300,327600,1,5.0,1,9,,Thái Hà,Nhà Xuất Bản Lao Động,,,,,Minhhabooks,available,1000,True,True,True
69162891,Mang Thai Sinh Nở Và Nuôi Con Khỏe Mạnh Cuốn Sách Về Mang Thai Được Tìm Kiếm Nhiều Nhất Tại Hàn Quốc,229000,299000,23,5.0,384,2247,Kim Geon Oh,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,384,2020-10-15,Tiki Trading,available,1000,False,True,True
68688353,Sách Thai Kỳ Khỏe Mạnh - Vượt Cạn Bình An,74100,78000,5,5.0,41,212,Bùi Chí Thương,NXB Trẻ,NXB Trẻ,,Bìa mềm,178,2020-09-01,Nhà sách Fahasa,available,1000,True,True,True
44904838,Sách Cuốn Sách Thai Giáo Cực Hay Mẹ Bầu Nên Có: Chuẩn Bị Cho Một Thai Kì Khỏe Mạnh Và Chào Đón Bé Yêu,232000,232000,0,0.0,0,0,Phạm Linh,Minh Long,,,Bìa mềm,,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
19776640,Combo 2 cuốn Mẹ Nhật Thai Giáo +  Dạy Con Kiểu Nhật - Giai Đoạn Trẻ 0 Tuổi(Tặng kèm bookmark),189000,189000,0,0.0,0,1,.,Thái Hà,Nhà Xuất Bản Lao Động,,Bìa mềm,,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
