id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279041891,Sách ngoại văn: Cosy Poems,445200,459000,3,0,0,0,nhieu tac gia,Macmillan Publishers,Nhiều Nhà Xuất Bản,9781035048670,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279037670,Sách ngoại văn: The House Of Broken Bricks,646000,680000,5,0,0,0,nhieu tac gia,Macmillan US,Nhiều Nhà Xuất Bản,9781250896766,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279037606,Sách ngoại văn: House Gone Quiet,399000,420000,5,0,0,0,nhieu tac gia,Simon and Schuster,Nhiều Nhà Xuất Bản,9781668016312,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279033868,"Sách ngoại văn: Harper Perennial Modern Thought - Poetry, Language, Thought",392300,413000,5,0,0,0,Martin Heidegger,HarperCollins Publishers,Harper Perennial,9780060937287,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279030614,Sách ngoại văn: Much Ado About Nothing,237500,250000,5,0,0,0,William Shakespeare,Penguin Books,Puffin Classics,9780241682050,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279027069,Sách ngoại văn: Emma,128300,138000,7,0,0,0,Jane Austen,Random House,Nhiều Nhà Xuất Bản,9780553212730,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278794521,Sách - Romeo and Juliet (Wordsworth Editions) by William Shakespeare | English Classics - Bìa cứng,380000,380000,0,0,0,0,William Shakespeare,Wordsworth Editions Ltd,Wordsworth Editions,9781840228335,Bìa cứng,144,2022-10-19,Bookworm Hà Nội,available,1000,True,True,True
278794470,Sách - The Plays of Oscar Wilde (Wordsworth Classics) by Oscar Wilde | English Book - Sách ngoại văn,220000,220000,0,0,0,0,Oscar Wilde,Wordsworth Editions Ltd,Wordsworth Editions,9781840224184,Bìa mềm,480,2000-10-26,Bookworm Hà Nội,available,1000,True,True,True
278793672,Sách - Macbeth by William Shakespeare | Classic Literature / Ngoại văn Kinh điển Nhập khẩu Bìa cứng,380000,380000,0,0,0,0,William Shakespeare,Wordsworth Editions Ltd,Wordsworth Editions Ltd,9781840228403,Bìa cứng,128,2023-10-10,Bookworm Hà Nội,available,1000,True,True,True
278793646,Sách - Macbeth (Wordsworth Classics) by William Shakespeare | English Book - Sách nhập khẩu,180000,180000,0,0,0,0,William Shakespeare,Wordsworth Editions Ltd,Wordsworth Editions,9781853260353,Bìa mềm,128,1992-06-23,Bookworm Hà Nội,available,1000,True,True,True
278788928,Sách - A Midsummer Night’s Dream (Wordsworth Classics) by William Shakespeare | English Fiction,180000,180000,0,0,0,0,William Shakespeare,Wordsworth Editions Ltd,Wordsworth Editions,9781853260308,Bìa mềm,72,2025-10-21,Bookworm Hà Nội,available,1000,True,True,True
278113482,Sách ngoại văn: Maktub,386600,407000,5,0,0,0,Paulo Coelho,HarperCollins Publishers,HarperOne,9780063346543,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
277353108,Rooftoppers,239000,239000,0,0,0,0,Katherine Rundell,Macmillan Publishers Ltd,MacMillan Publishers,978152662480,Bìa mềm,352,,Nhà Sách Phương Nam,available,1000,True,True,True
276048546,James Patterson By James Patterson,289700,305000,5,0,0,0,James Patterson,Hachette Book Group,Grand Central Publishing,9781538709719,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
274676628,The Monsters And The Critics,219400,231000,5,0,0,0,...,Đang cập nhật,Đang cập nhật,9780261102637,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
262789474,The Hound Of The Baskervilles (Collins Classics),89000,89000,0,2,1,5,Arthur Connan Doyle,Phương Nam Book,HarperCollins,9780007368570,Bìa mềm,192,,Nhà Sách Phương Nam,available,1000,True,True,True
260733874,Woman in White (Collins Classics),89000,89000,0,0,0,3,Wilkie Collins,Phương Nam Book,Harper Collins Publishers, 9780007902217,Bìa mềm,768,,Nhà Sách Phương Nam,available,1000,True,True,True
258897463,The Upside Of Falling,259000,259000,0,5,1,4,,Phương Nam Book,HarperTeen, 9780062918062,Bìa mềm,288,,Nhà Sách Phương Nam,available,1000,True,True,True
55288478,Who Was Jane Austen?,141600,146000,3,5,1,2,"Jerry Hoare, Sarah Fabiny",Penguin Books,Penguin Putnam Inc,9780448488639,,,,Nhà sách Fahasa,available,1000,True,True,True
52027082,Truyện đọc tiếng Pháp: Andromaque - Jean Racine,173016,194400,11,0,0,0,Jean Racine,Gallimard,Hachette,9782070304677 ,Bìa mềm,176,2003-12-02,Blue Horizon Books,available,1000,True,True,True
49379237,Alice's Adventures in Wonderland and Through the Looking-Glass (Penguin Classics),292600,308000,5,5,2,12,Lewis Carroll,Penguin Books,Penguin Classics,9780141439761,,,,Nhà sách Fahasa,available,1000,True,False,True
22986530,Lullabies,399000,420000,5,5,4,26,Lang Leav,Andrews McMeel Publishing,,9781449461072,,,,Nhà sách Fahasa,available,1000,True,False,True
